timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1.60712E+12,6049,GetWorkload,200,OK,Thread Group 1-1,text,TRUE,,24909,417,1,1,6028,0,1647
1.60712E+12,225,GetStarttime,200,OK,Thread Group 1-1,text,TRUE,,395,257,1,1,225,0,0
1.60712E+12,1134,GetDistribution,200,OK,Thread Group 2-5,text,TRUE,,371,307,15,15,1133,0,664
1.60712E+12,1078,GetDistribution,200,OK,Thread Group 2-8,text,TRUE,,371,307,17,17,1078,0,640
1.60712E+12,1259,GetDistribution,200,OK,Thread Group 2-9,text,TRUE,,371,307,20,20,1259,0,633
1.60712E+12,1067,GetDistribution,200,OK,Thread Group 2-11,text,TRUE,,371,307,20,20,1067,0,635
1.60712E+12,1203,GetDistribution,200,OK,Thread Group 2-10,text,TRUE,,371,307,21,21,1202,0,628
1.60712E+12,1097,GetDistribution,200,OK,Thread Group 2-13,text,TRUE,,371,307,23,23,1097,0,630
1.60712E+12,1148,GetDistribution,200,OK,Thread Group 2-14,text,TRUE,,371,307,24,24,1148,0,711
1.60712E+12,1178,GetDistribution,200,OK,Thread Group 2-15,text,TRUE,,371,307,25,25,1178,0,639
1.60712E+12,1042,GetDistribution,200,OK,Thread Group 2-17,text,TRUE,,371,307,26,26,1042,0,623
1.60712E+12,1166,GetDistribution,200,OK,Thread Group 2-16,text,TRUE,,371,307,26,26,1166,0,679
1.60712E+12,2764,GetDistribution,200,OK,Thread Group 2-2,text,TRUE,,371,307,26,26,2764,0,669
1.60712E+12,1038,GetDistribution,200,OK,Thread Group 2-19,text,TRUE,,371,307,28,28,1038,0,601
1.60712E+12,1113,GetDistribution,200,OK,Thread Group 2-18,text,TRUE,,371,307,29,29,1113,0,614
1.60712E+12,1056,GetDistribution,200,OK,Thread Group 2-20,text,TRUE,,371,307,29,29,1056,0,615
1.60712E+12,1028,GetDistribution,200,OK,Thread Group 2-21,text,TRUE,,371,307,30,30,1028,0,601
1.60712E+12,1060,GetDistribution,200,OK,Thread Group 2-22,text,TRUE,,371,307,31,31,1060,0,615
1.60712E+12,3435,GetDistribution,200,OK,Thread Group 2-1,text,TRUE,,371,307,32,32,3435,0,738
1.60712E+12,1071,GetDistribution,200,OK,Thread Group 2-23,text,TRUE,,371,307,32,32,1071,0,601
1.60712E+12,1068,GetDistribution,200,OK,Thread Group 2-24,text,TRUE,,371,307,33,33,1068,0,631
1.60712E+12,1028,GetDistribution,200,OK,Thread Group 2-25,text,TRUE,,371,307,34,34,1028,0,608
1.60712E+12,3696,GetDistribution,200,OK,Thread Group 2-3,text,TRUE,,370,307,36,36,3696,0,668
1.60712E+12,1184,GetDistribution,200,OK,Thread Group 2-26,text,TRUE,,370,307,36,36,1184,0,619
1.60712E+12,3603,GetDistribution,200,OK,Thread Group 2-4,text,TRUE,,370,307,37,37,3603,0,663
1.60712E+12,3390,GetDistribution,200,OK,Thread Group 2-6,text,TRUE,,370,307,37,37,3390,0,662
1.60712E+12,1082,GetDistribution,200,OK,Thread Group 2-27,text,TRUE,,370,307,37,37,1082,0,612
1.60712E+12,1005,GetDistribution,200,OK,Thread Group 2-28,text,TRUE,,370,307,37,37,1004,0,598
1.60712E+12,3564,GetDistribution,200,OK,Thread Group 2-7,text,TRUE,,370,307,39,39,3564,0,646
1.60712E+12,1142,GetDistribution,200,OK,Thread Group 2-30,text,TRUE,,370,307,40,40,1142,0,615
1.60712E+12,1272,GetDistribution,200,OK,Thread Group 2-29,text,TRUE,,370,307,40,40,1272,0,616
1.60712E+12,1092,GetDistribution,200,OK,Thread Group 2-32,text,TRUE,,370,307,38,38,1092,0,612
1.60712E+12,3327,GetDistribution,200,OK,Thread Group 2-12,text,TRUE,,370,307,12,12,3327,0,686
1.60712E+12,1072,GetDistribution,200,OK,Thread Group 2-33,text,TRUE,,370,307,11,11,1072,0,611
