timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThread,Latency,IdleTime,Connect
1.60712E+12,3604,GetWorkload,200,OK,Thread Group 1-1,text,TRUE,,24909,417,1,1,3584,0,2416
1.60712E+12,314,GetStarttime,200,OK,Thread Group 1-1,text,TRUE,,395,257,1,1,313,0,0
1.60712E+12,1450,GetDistribution,200,OK,Thread Group 2-1,text,TRUE,,371,307,14,14,1449,0,933
1.60712E+12,1412,GetDistribution,200,OK,Thread Group 2-2,text,TRUE,,371,307,14,14,1412,0,883
1.60712E+12,1593,GetDistribution,200,OK,Thread Group 2-4,text,TRUE,,371,307,18,18,1593,0,1024
1.60712E+12,1509,GetDistribution,200,OK,Thread Group 2-5,text,TRUE,,371,307,18,18,1509,0,937
1.60712E+12,1272,GetDistribution,200,OK,Thread Group 2-7,text,TRUE,,371,307,18,18,1272,0,776
1.60712E+12,1347,GetDistribution,200,OK,Thread Group 2-8,text,TRUE,,371,307,18,18,1347,0,786
1.60712E+12,1902,GetDistribution,200,OK,Thread Group 2-3,text,TRUE,,371,307,18,18,1902,0,981
1.60712E+12,1569,GetDistribution,200,OK,Thread Group 2-6,text,TRUE,,371,307,18,18,1569,0,962
1.60712E+12,1610,GetDistribution,200,OK,Thread Group 2-9,text,TRUE,,371,307,22,22,1610,0,971
1.60712E+12,1408,GetDistribution,200,OK,Thread Group 2-11,text,TRUE,,371,307,22,22,1408,0,791
1.60712E+12,1378,GetDistribution,200,OK,Thread Group 2-13,text,TRUE,,371,307,23,23,1378,0,819
1.60712E+12,1735,GetDistribution,200,OK,Thread Group 2-10,text,TRUE,,371,307,23,23,1734,0,1149
1.60712E+12,1564,GetDistribution,200,OK,Thread Group 2-12,text,TRUE,,371,307,23,23,1564,0,1007
1.60712E+12,1421,GetDistribution,200,OK,Thread Group 2-18,text,TRUE,,371,307,28,28,1421,0,943
1.60712E+12,1663,GetDistribution,200,OK,Thread Group 2-17,text,TRUE,,371,307,29,29,1662,0,1167
1.60712E+12,2046,GetDistribution,200,OK,Thread Group 2-14,text,TRUE,,371,307,29,29,2045,0,1499
1.60712E+12,1988,GetDistribution,200,OK,Thread Group 2-16,text,TRUE,,370,307,29,29,1988,0,1401
1.60712E+12,2107,GetDistribution,200,OK,Thread Group 2-15,text,TRUE,,370,307,29,29,2101,0,1519
1.60712E+12,1898,GetDistribution,200,OK,Thread Group 2-19,text,TRUE,,370,307,33,33,1898,0,1342
1.60712E+12,1499,GetDistribution,200,OK,Thread Group 2-21,text,TRUE,,370,307,33,33,1499,0,960
1.60712E+12,1595,GetDistribution,200,OK,Thread Group 2-23,text,TRUE,,370,307,34,34,1595,0,1059
1.60712E+12,1598,GetDistribution,200,OK,Thread Group 2-22,text,TRUE,,370,307,34,34,1598,0,1045
1.60712E+12,2003,GetDistribution,200,OK,Thread Group 2-20,text,TRUE,,370,307,34,34,2003,0,1442
1.60712E+12,1295,GetDistribution,200,OK,Thread Group 2-26,text,TRUE,,370,307,35,35,1294,0,790
1.60712E+12,1640,GetDistribution,200,OK,Thread Group 2-24,text,TRUE,,370,307,37,37,1639,0,1060
1.60712E+12,1344,GetDistribution,200,OK,Thread Group 2-28,text,TRUE,,370,307,38,38,1343,0,855
1.60712E+12,1432,GetDistribution,200,OK,Thread Group 2-27,text,TRUE,,370,307,38,38,1431,0,944
1.60712E+12,1270,GetDistribution,200,OK,Thread Group 2-29,text,TRUE,,370,307,38,38,1270,0,780
1.60712E+12,1694,GetDistribution,200,OK,Thread Group 2-25,text,TRUE,,370,307,39,39,1694,0,1110
1.60712E+12,1337,GetDistribution,200,OK,Thread Group 2-32,text,TRUE,,370,307,43,43,1337,0,845
1.60712E+12,1281,GetDistribution,200,OK,Thread Group 2-33,text,TRUE,,370,307,43,43,1281,0,765
1.60712E+12,1611,GetDistribution,200,OK,Thread Group 2-31,text,TRUE,,370,307,44,44,1611,0,1066
1.60712E+12,1733,GetDistribution,200,OK,Thread Group 2-30,text,TRUE,,370,307,45,45,1733,0,1169
1.60712E+12,1500,GetDistribution,200,OK,Thread Group 2-34,text,TRUE,,370,307,47,47,1500,0,946
1.60712E+12,1523,GetDistribution,200,OK,Thread Group 2-35,text,TRUE,,370,307,48,48,1523,0,989
1.60712E+12,1301,GetDistribution,200,OK,Thread Group 2-38,text,TRUE,,370,307,49,49,1301,0,783
1.60712E+12,1276,GetDistribution,200,OK,Thread Group 2-39,text,TRUE,,370,307,49,49,1276,0,769
1.60712E+12,1524,GetDistribution,200,OK,Thread Group 2-37,text,TRUE,,370,307,50,50,1524,0,961
1.60712E+12,1752,GetDistribution,200,OK,Thread Group 2-36,text,TRUE,,370,307,51,51,1751,0,942
1.60712E+12,1286,GetDistribution,200,OK,Thread Group 2-42,text,TRUE,,370,307,53,53,1285,0,788
1.60712E+12,1554,GetDistribution,200,OK,Thread Group 2-40,text,TRUE,,370,307,53,53,1554,0,976
1.60712E+12,1485,GetDistribution,200,OK,Thread Group 2-41,text,TRUE,,370,307,54,54,1485,0,947
1.60712E+12,1302,GetDistribution,200,OK,Thread Group 2-43,text,TRUE,,370,307,54,54,1301,0,828
1.60712E+12,1224,GetDistribution,200,OK,Thread Group 2-44,text,TRUE,,371,307,55,55,1223,0,751
1.60712E+12,1373,GetDistribution,200,OK,Thread Group 2-45,text,TRUE,,371,307,57,57,1373,0,874
1.60712E+12,1500,GetDistribution,200,OK,Thread Group 2-46,text,TRUE,,371,307,59,59,1500,0,933
1.60712E+12,1352,GetDistribution,200,OK,Thread Group 2-48,text,TRUE,,371,307,60,60,1352,0,825
1.60712E+12,1277,GetDistribution,200,OK,Thread Group 2-49,text,TRUE,,371,307,60,60,1277,0,798
