time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-02-13 00:00:00+00:00,4.0,4.0,15,1
2021-02-14 00:00:00+00:00,9.0,7.0,83,34
2021-02-15 00:00:00+00:00,28.0,16.0,59,8
2021-02-16 00:00:00+00:00,23.0,13.0,73,11
2021-02-17 00:00:00+00:00,14.0,9.0,87,14
2021-02-18 00:00:00+00:00,,,28,5
2021-02-19 00:00:00+00:00,1.0,1.0,37,8
2021-02-20 00:00:00+00:00,,,23,1
2021-02-21 00:00:00+00:00,,,9,4
2021-02-22 00:00:00+00:00,7.0,3.0,49,3
2021-02-23 00:00:00+00:00,4.0,3.0,61,3
2021-02-24 00:00:00+00:00,1.0,1.0,52,2
2021-02-25 00:00:00+00:00,3.0,2.0,35,1
2021-02-26 00:00:00+00:00,4.0,3.0,62,2
2021-02-27 00:00:00+00:00,19.0,9.0,180,2
