time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-02-13 00:00:00+00:00,4,4,15,1
2021-02-14 00:00:00+00:00,9,7,83,34
2021-02-15 00:00:00+00:00,28,16,59,8
2021-02-16 00:00:00+00:00,23,13,73,11
2021-02-17 00:00:00+00:00,14,9,87,14
2021-02-18 00:00:00+00:00,0,0,28,5
2021-02-19 00:00:00+00:00,1,1,37,8
2021-02-20 00:00:00+00:00,0,0,23,1
2021-02-21 00:00:00+00:00,0,0,9,4
2021-02-22 00:00:00+00:00,7,3,49,3
2021-02-23 00:00:00+00:00,4,3,61,3
2021-02-24 00:00:00+00:00,1,1,52,2
2021-02-25 00:00:00+00:00,3,2,35,1
2021-02-26 00:00:00+00:00,4,3,62,2
2021-02-27 00:00:00+00:00,19,9,180,2
